name	type	time
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.642376
ary 300000	greedy	1.331920
ary 300000	pbqp	1.478863
ackermann 12	greedy	4.215337
ackermann 12	pbqp	4.294899
chameneos 200000	greedy	4.978133
chameneos 200000	pbqp	4.972104
echo 200000	greedy	5.370087
echo 200000	pbqp	5.282081
fannkuch 11	greedy	1.141937
fannkuch 11	pbqp	1.152195
except 2000000	greedy	3.909391
except 2000000	pbqp	3.691087
fibo 44	greedy	5.016549
fibo 44	pbqp	4.601836
harmonic 1500000000	greedy	6.078927
harmonic 1500000000	pbqp	6.051176
hash2 3000	greedy	3.613831
hash2 3000	pbqp	3.693980
heapsort 50000000	greedy	22.409955
heapsort 50000000	pbqp	22.486628
raytracer 500	greedy	9.535247
raytracer 500	pbqp	10.240788
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.860717
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.988006
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.553209
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.616560
ary 300000	greedy	1.312898
ary 300000	pbqp	1.471887
ackermann 12	greedy	4.167710
ackermann 12	pbqp	4.283502
chameneos 200000	greedy	4.956991
chameneos 200000	pbqp	4.960888
echo 200000	greedy	5.273782
echo 200000	pbqp	5.207113
fannkuch 11	greedy	1.133567
fannkuch 11	pbqp	1.101481
except 2000000	greedy	3.608522
except 2000000	pbqp	3.665861
fibo 44	greedy	4.954039
fibo 44	pbqp	4.629367
harmonic 1500000000	greedy	6.076123
harmonic 1500000000	pbqp	6.076095
hash2 3000	greedy	3.548594
hash2 3000	pbqp	3.705675
heapsort 50000000	greedy	22.448677
heapsort 50000000	pbqp	22.793777
raytracer 500	greedy	9.735934
raytracer 500	pbqp	10.330994
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.715089
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.746239
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.523283
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.535468
ary 300000	greedy	1.307702
ary 300000	pbqp	1.475317
ackermann 12	greedy	4.223275
ackermann 12	pbqp	4.246016
chameneos 200000	greedy	4.861674
chameneos 200000	pbqp	4.857802
echo 200000	greedy	5.186487
echo 200000	pbqp	5.205743
fannkuch 11	greedy	1.128068
fannkuch 11	pbqp	1.098394
except 2000000	greedy	3.605852
except 2000000	pbqp	3.614114
fibo 44	greedy	4.912503
fibo 44	pbqp	4.573425
harmonic 1500000000	greedy	6.003504
harmonic 1500000000	pbqp	6.049084
hash2 3000	greedy	3.568484
hash2 3000	pbqp	3.657962
heapsort 50000000	greedy	22.174165
heapsort 50000000	pbqp	22.037232
raytracer 500	greedy	9.480028
raytracer 500	pbqp	10.219805
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.721922
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.763669
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.515406
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.526296
ary 300000	greedy	1.318644
ary 300000	pbqp	1.488496
ackermann 12	greedy	4.187382
ackermann 12	pbqp	4.263463
chameneos 200000	greedy	4.939274
chameneos 200000	pbqp	4.962100
echo 200000	greedy	5.371826
echo 200000	pbqp	5.225897
fannkuch 11	greedy	1.215132
fannkuch 11	pbqp	1.107032
except 2000000	greedy	3.567094
except 2000000	pbqp	3.674906
fibo 44	greedy	4.912290
fibo 44	pbqp	4.571145
harmonic 1500000000	greedy	6.046758
harmonic 1500000000	pbqp	6.056761
hash2 3000	greedy	3.553404
hash2 3000	pbqp	3.656525
heapsort 50000000	greedy	22.560386
heapsort 50000000	pbqp	22.855370
raytracer 500	greedy	9.611952
raytracer 500	pbqp	10.173606
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.824320
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.807219
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.537841
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.589593
ary 300000	greedy	1.320733
ary 300000	pbqp	1.485039
ackermann 12	greedy	4.322844
ackermann 12	pbqp	4.301957
