name	type	time
fibo 44	greedy	4.986951
fibo 44	pbqp	4.643537
harmonic 1500000000	greedy	6.059309
harmonic 1500000000	pbqp	6.083539
hash2 3000	greedy	3.546203
hash2 3000	pbqp	3.696842
heapsort 50000000	greedy	23.101222
heapsort 50000000	pbqp	22.872434
raytracer 500	greedy	9.829839
raytracer 500	pbqp	10.271479
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.625943
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.795461
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.684133
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.583602
ary 300000	greedy	1.307391
ary 300000	pbqp	1.481544
ackermann 12	greedy	4.195857
ackermann 12	pbqp	4.306248
chameneos 200000	greedy	4.945918
chameneos 200000	pbqp	4.957829
echo 200000	greedy	5.212647
echo 200000	pbqp	5.435039
fannkuch 11	greedy	1.126020
fannkuch 11	pbqp	1.167825
except 2000000	greedy	3.779225
except 2000000	pbqp	3.714686
fibo 44	greedy	4.930877
fibo 44	pbqp	4.605356
harmonic 1500000000	greedy	6.053069
harmonic 1500000000	pbqp	6.235311
hash2 3000	greedy	3.627969
hash2 3000	pbqp	3.880309
heapsort 50000000	greedy	23.627725
heapsort 50000000	pbqp	23.443621
raytracer 500	greedy	9.965935
raytracer 500	pbqp	10.389597
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.910208
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	9.083176
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.709683
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.607546
ary 300000	greedy	1.317880
ary 300000	pbqp	1.514237
ackermann 12	greedy	4.200392
ackermann 12	pbqp	4.285053
chameneos 200000	greedy	4.917941
chameneos 200000	pbqp	4.902649
echo 200000	greedy	5.172415
echo 200000	pbqp	5.190404
fannkuch 11	greedy	1.129737
fannkuch 11	pbqp	1.231018
except 2000000	greedy	3.654725
except 2000000	pbqp	3.660817
fibo 44	greedy	4.939090
fibo 44	pbqp	4.554783
harmonic 1500000000	greedy	6.047894
harmonic 1500000000	pbqp	6.053169
hash2 3000	greedy	3.516084
hash2 3000	pbqp	3.643651
heapsort 50000000	greedy	22.915777
heapsort 50000000	pbqp	23.481701
raytracer 500	greedy	9.844712
raytracer 500	pbqp	10.240010
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.884171
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.875508
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.592282
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.621278
ary 300000	greedy	1.326538
ary 300000	pbqp	1.518852
ackermann 12	greedy	4.470022
ackermann 12	pbqp	4.384046
chameneos 200000	greedy	5.023693
chameneos 200000	pbqp	5.121926
echo 200000	greedy	5.384228
echo 200000	pbqp	5.756352
fannkuch 11	greedy	1.222004
fannkuch 11	pbqp	1.162346
except 2000000	greedy	3.697614
except 2000000	pbqp	3.629650
fibo 44	greedy	4.974014
fibo 44	pbqp	4.642721
harmonic 1500000000	greedy	6.080381
harmonic 1500000000	pbqp	6.085915
hash2 3000	greedy	3.517656
hash2 3000	pbqp	3.801629
heapsort 50000000	greedy	23.522454
heapsort 50000000	pbqp	23.012779
raytracer 500	greedy	9.819160
raytracer 500	pbqp	10.203568
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.816937
